price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
348,100%,2,Ipanema,Apartment,Entire home/apt,1,3,1,5,8,0.27,100,0
89,100%,10,Barra da Tijuca,House,Shared room,3,16,1,2,12,0.17,93,30
96,100%,2,Copacabana,Apartment,Private room,1,2,1,3,108,1.52,96,0
201,100%,1,Ipanema,Apartment,Private room,1,2,2,2,169,2.39,95,22
249,100%,5,Copacabana,Apartment,Entire home/apt,2,6,6,3,29,0.43,93,30
349,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,7,6,2,38,1.61,96,16
335,100%,3,Ipanema,Apartment,Entire home/apt,2.5,8,5,4,6,0.09,76,29
140,100%,1,Copacabana,Apartment,Entire home/apt,1,2,1,2,175,2.68,94,3
529,100%,1,Ipanema,Apartment,Entire home/apt,2,4,1,1,35,0.88,99,0
287,N/A,1,Copacabana,Apartment,Entire home/apt,1,6,4,3,23,0.33,94,0
410,100%,1,Barra da Tijuca,Apartment,Entire home/apt,1,2,2,1,8,0.39,98,0
89,100%,10,Barra da Tijuca,House,Shared room,3,10,1,2,6,0.14,87,30
360,100%,1,Ipanema,Serviced apartment,Entire home/apt,1,3,2,2,164,2.46,94,26
89,100%,10,Barra da Tijuca,House,Shared room,3,5,1,2,5,0.16,88,30
201,100%,2,Copacabana,Apartment,Entire home/apt,1,4,1,1,7,0.11,97,30
400,100%,3,Ipanema,Apartment,Entire home/apt,3,9,8,2,10,0.17,60,30
99,100%,3,Copacabana,Apartment,Private room,2,2,1,5,17,0.24,86,28
99,100%,3,Copacabana,Apartment,Private room,1,2,1,3,20,0.3,94,0
260,100%,2,Copacabana,Apartment,Private room,1,3,2,2,88,1.39,99,30
338,100%,4,Copacabana,Apartment,Private room,1,2,1,1,6,0.09,96,30
273,100%,4,Copacabana,Apartment,Private room,1,2,1,1,17,0.24,94,30
338,100%,4,Copacabana,Apartment,Private room,1,2,1,1,9,0.13,98,30
369,100%,2,Copacabana,Apartment,Entire home/apt,2,7,2,2,25,0.39,98,22
51,90%,6,Copacabana,Apartment,Shared room,2,6,1,3,5,0.08,76,30
140,100%,5,Copacabana,Apartment,Entire home/apt,1,4,2,4,83,1.2,93,29
171,100%,3,Copacabana,Apartment,Private room,1,2,1,2,5,0.17,100,0
185,100%,1,Copacabana,Apartment,Entire home/apt,1,4,2,3,6,0.09,92,23
301,N/A,2,Copacabana,Apartment,Private room,1,2,1,4,15,0.22,97,30
126,100%,2,Copacabana,Apartment,Private room,2,2,1,2,98,1.41,95,30
161,100%,2,Copacabana,Apartment,Entire home/apt,1,5,2,2,37,0.56,85,24
239,90%,55,Ipanema,Apartment,Private room,NA,1,1,4,6,0.09,100,30
109,N/A,1,Barra da Tijuca,Apartment,Private room,1,2,1,1,16,0.24,96,13
120,100%,2,Copacabana,Apartment,Private room,2,2,1,2,80,1.16,94,30
396,100%,1,Copacabana,Apartment,Entire home/apt,2,4,2,4,115,1.67,94,13
348,100%,8,Ipanema,Apartment,Entire home/apt,1.5,4,2,3,103,1.49,97,25
301,N/A,2,Copacabana,Apartment,Entire home/apt,1,2,2,6,15,0.23,94,30
208,N/A,2,Ipanema,Apartment,Entire home/apt,1,2,2,5,16,0.25,96,23
201,100%,1,Barra da Tijuca,Apartment,Entire home/apt,1,6,1,2,7,0.13,97,29
801,100%,2,Ipanema,Apartment,Entire home/apt,1.5,4,2,5,18,0.27,99,28
321,67%,1,Barra da Tijuca,Apartment,Entire home/apt,1,5,5,2,21,0.31,92,30
151,100%,1,Barra da Tijuca,Apartment,Entire home/apt,1,4,2,2,40,0.6,92,26
301,100%,5,Copacabana,Apartment,Entire home/apt,1.5,4,2,2,69,1.07,98,28
181,N/A,1,Copacabana,Apartment,Entire home/apt,1,2,1,3,12,0.18,92,29
150,100%,5,Barra da Tijuca,House,Private room,1,2,1,2,11,0.18,95,30
201,100%,5,Barra da Tijuca,House,Private room,1,2,1,2,5,0.07,100,30
99,100%,1,Copacabana,Apartment,Entire home/apt,1.5,7,1,2,69,1.03,93,13
229,100%,5,Ipanema,Apartment,Entire home/apt,1.5,4,3,2,80,1.19,94,16
632,100%,2,Ipanema,Apartment,Entire home/apt,2,6,4,2,13,0.28,95,30
376,100%,6,Copacabana,Apartment,Entire home/apt,1.5,6,1,2,204,3.05,96,2
157,93%,28,Copacabana,Apartment,Entire home/apt,1,7,4,2,136,2.13,82,15
99,100%,2,Copacabana,Apartment,Private room,1,2,1,3,44,0.66,94,26
181,100%,8,Copacabana,Apartment,Entire home/apt,1,4,1,3,48,0.7,95,9
120,89%,2,Copacabana,Apartment,Entire home/apt,1,4,2,1,57,0.85,90,0
270,100%,1,Copacabana,Serviced apartment,Entire home/apt,1,4,2,1,282,4.14,91,19
